"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"GLB1","P16278;P16278-3",224954.6,260982.666666667,"nonmito",""
"GLG1","Q92896;Q92896-2",107738.32,98466.5666666667,"nonmito",""
"GLIPR1","P48060",70900.36,100139.166666667,"nonmito",""
"GLIPR2","Q9H4G4",207249.8,218063.333333333,"nonmito",""
"GLMN","Q92990",71890.24,50672.8333333333,"nonmito",""
"GLMP","Q8WWB7;Q8WWB7-2",171401,168597.333333333,"nonmito",""
"GLO1","Q04760;Q04760-2",289716,265592.666666667,"nonmito",""
"GLOD4","Q9HC38;Q9HC38-2",173774.8,173184.333333333,"mito",""
"GLRX3","O76003",149923.4,163944,"nonmito",""
"GLS","O94925",184613.4,159667.333333333,"mito",""
"GLS","O94925-3",93260.78,185815,"mito",""
"GLT8D1","Q68CQ7",119747.2,133229,"nonmito",""
"GLT8D2","Q9H1C3",52538.2,72200.8666666667,"nonmito",""
"GLTP","Q9NZD2",70968.54,38584.6333333333,"nonmito",""
"GLUD1","P00367",224642.6,253855.666666667,"mito",""
"GLUL","P15104",136191,138555.333333333,"nonmito",""
"GLYR1","Q49A26;Q49A26-2;Q49A26-3",46643.22,70295.8,"nonmito",""
"GM2A","P17900",70103.62,84414.6,"nonmito",""
"GMDS","O60547;O60547-2",52578.9,49335.2,"nonmito",""
"GMFB","P60983",188211.8,201858,"nonmito",""
"GMPPA","Q96IJ6",194349,181571.666666667,"nonmito",""
"GMPPB","Q9Y5P6;Q9Y5P6-2",124967.6,116680.333333333,"nonmito",""
"GMPR2","Q9P2T1;Q9P2T1-2",70155.5,86056.8333333333,"nonmito",""
"GMPS","P49915",91755.42,106980.333333333,"nonmito",""
"GNA11","P29992",185635.6,175891.666666667,"nonmito",""
"GNA12","Q03113",30491.08,26074.2,"nonmito",""
"GNA13","Q14344",85415.06,95718.6,"nonmito",""
"GNAI1","P63096;P63096-2",44472.32,61937.2333333333,"nonmito",""
"GNAI2","P04899",272722.4,344361.333333333,"nonmito",""
"GNAI3","P08754",70333.46,140321.666666667,"nonmito",""
"GNAQ","P50148",138463.6,161837,"nonmito",""
"GNAS","P63092;P63092-4;Q5JWF2",168910.6,147175.333333333,"nonmito",""
"GNB1","P62873;P62873-2",324555.4,500386.666666667,"nonmito",""
"GNB1L","Q9BYB4",37739.52,47721.8666666667,"nonmito",""
"GNB2","P62879",493990.2,595143.333333333,"nonmito",""
"GNB4","Q9HAV0",78092.42,139625.666666667,"nonmito",""
"GNE","Q9Y223;Q9Y223-2",78256.32,65742.6,"nonmito",""
"GNG12","Q9UBI6",122017.8,67061.9,"nonmito",""
"GNL1","P36915",102746.58,89073.0666666667,"nonmito",""
"GNL2","Q13823",37675.55,29995.5,"nonmito",""
